City,State,Population,Area,Density,Lat,Lng
Louisville,Kentucky,620118,263.5,2339,38.1654,-85.6474
Baton Rouge,Louisiana,221599,85.9,2651,30.4422,-91.1309
Lafayette,Louisiana,126143,53.8,2372,30.2074,-92.0285
New Orleans,Louisiana,391006,169.4,2311,30.0534,-89.9345
Shreveport,Louisiana,188987,107.1,1820,32.4669,-93.7922
Portland,Maine,66417,21.31,3147,43.6667,-70.2667
Baltimore,Maryland,602495,80.9,7598,39.3,-76.6105
Boston,Massachusetts,694583,48.3,13938,42.332,-71.0202
Cambridge,Massachusetts,118977,6.4,17289,42.376,-71.1187
Lowell,Massachusetts,111670,13.6,8129,42.639,-71.3211
Springfield,Massachusetts,155032,31.9,4830,42.1155,-72.54
Worcester,Massachusetts,185877,37.4,4933,42.2695,-71.8078
Ann Arbor,Michigan,121890,28.1,4298,42.2761,-83.7309
Clinton,Michigan,100800,28.1,3573,42.5903,-82.917
Detroit,Michigan,672662,138.8,4847,42.383,-83.1022
Grand Rapids,Michigan,200217,44.4,4424,42.9612,-85.6556
Lansing,Michigan,118427,39.1,2967,42.7143,-84.5593
Sterling Heights,Michigan,132964,36.5,3628,42.5812,-83.0303
Warren,Michigan,134587,34.4,3928,42.4929,-83.025
Minneapolis,Minnesota,425403,54,7660,44.9633,-93.2683
Rochester,Minnesota,116961,54.6,2088,44.0154,-92.4772
Saint Paul,Minnesota,307695,52,5815,44.9489,-93.1041
Jackson,Mississippi,164422,111,1524,32.3158,-90.2128
Columbia,Missouri,123180,65,1856,38.951561,-92.328638
Independence,Missouri,116925,77.8,1504,39.0855,-94.3521
Kansas City,Missouri,491918,315,1528,39.1251,-94.551
Springfield,Missouri,168122,82.3,2033,37.1942,-93.2913
St. Louis,Missouri,302838,62,5023,38.6357,-90.2446
Billings,Montana,109550,43.7,2525,45.7885,-108.5499
Lincoln,Nebraska,287401,92.1,3044,40.8105,-96.6803
Omaha,Nebraska,468262,133.2,3356,41.2644,-96.0451
Henderson,Nevada,310390,104.7,2798,36.0097,-115.0357
Las Vegas,Nevada,644644,134.4,4709,36.2292,-115.2601
North Las Vegas,Nevada,245949,98,2436,36.2857,-115.0939
Reno,Nevada,250998,107.3,2286,39.5491,-119.8499
Sparks,Nevada,104246,35.9,2810,39.5544,-119.7356
Manchester,New Hampshire,112525,33.1,3339,42.9849,-71.4441
Edison,New Jersey,100693,30.1,3389,40.504,-74.3494
Elizabeth,New Jersey,128885,12.3,10459,40.6664,-74.1935
Jersey City,New Jersey,265549,14.8,17848,40.7114,-74.0648
Lakewood,New Jersey,104157,24.7,4079,40.0771,-74.2004
Newark,New Jersey,282090,24.1,11691,40.7242,-74.1726
Paterson,New Jersey,145627,8.4,17500,40.9148,-74.1628
Woodbridge,New Jersey,100450,23.3,4351,40.5607,-74.2927
Albuquerque,New Mexico,560218,188.2,2972,35.1056,-106.6474
Las Cruces,New Mexico,102926,76.9,1323,32.3264,-106.7897
Buffalo,New York,256304,40.4,6359,42.8925,-78.8597
New York,New York,8398748,301.5,28317,40.6635,-73.9387
Rochester,New York,206284,35.8,5835,43.1699,-77.6169
Syracuse,New York,142749,25,5735,43.041,-76.1436
Yonkers,New York,199663,18,11156,40.9459,-73.8674
Cary,North Carolina,168160,56.5,2873,35.7809,-78.8133
Charlotte,North Carolina,872498,305.4,2757,35.2078,-80.831
Durham,North Carolina,274291,109.8,2395,35.9811,-78.9029
Fayetteville,North Carolina,209468,147.7,1386,35.0828,-78.9735
Greensboro,North Carolina,294722,128.3,2237,36.0951,-79.827
High Point,North Carolina,112316,55.2,2015,35.99,-79.9905
Raleigh,North Carolina,469298,145.1,3163,35.8306,-78.6418
Wilmington,North Carolina,122607,51.6,2278,34.2092,-77.8858
Winston–Salem,North Carolina,246328,132.5,1828,36.1027,-80.261
Fargo,North Dakota,124844,49.3,2450,46.8652,-96.829
Akron,Ohio,198006,62,3188,41.0805,-81.5214
Cincinnati,Ohio,302605,77.4,3860,39.1402,-84.5058
Cleveland,Ohio,383793,77.7,4965,41.4785,-81.6794
Columbus,Ohio,892533,218.5,3936,39.9852,-82.9848
Dayton,Ohio,140640,55.7,2522,39.7774,-84.1996
Toledo,Ohio,274975,80.7,3451,41.6641,-83.5819
Broken Arrow,Oklahoma,109171,61.7,1741,36.0365,-95.781
Norman,Oklahoma,123471,178.8,683,35.2406,-97.3453
Oklahoma City,Oklahoma,649021,606.3,1053,35.4671,-97.5137
Tulsa,Oklahoma,400669,196.8,2048,36.1279,-95.9023
Eugene,Oregon,171245,44.1,3777,44.0567,-123.1162
Gresham,Oregon,110158,23.3,4786,45.5023,-122.4416
Hillsboro,Oregon,108389,25,4207,45.528,-122.9357
Portland,Oregon,653115,133.5,4793,45.537,-122.65
Salem,Oregon,173442,48.6,3445,44.9237,-123.0232
Allentown,Pennsylvania,121433,17.5,6882,40.5936,-75.4784
Philadelphia,Pennsylvania,1584138,134.2,11683,40.0094,-75.1333
Pittsburgh,Pennsylvania,301048,55.4,5481,40.4398,-79.9766
Providence,Rhode Island,179335,18.4,9740,41.8231,-71.4188
Charleston,South Carolina,136208,109,1233,32.8179,-79.959
Columbia,South Carolina,133451,133.5,1006,34.0291,-80.898
North Charleston,South Carolina,113237,73.7,1483,32.9178,-80.065
Sioux Falls,South Dakota,181883,75.4,2312,43.5383,-96.732
Chattanooga,Tennessee,180557,143.1,1241,35.066,-85.2484
Clarksville,Tennessee,156794,98.3,1529,36.5664,-87.3452
Knoxville,Tennessee,187500,98.5,1891,35.9707,-83.9493
Memphis,Tennessee,650618,317.4,2056,35.1028,-89.9774
Murfreesboro,Tennessee,141344,55.9,2360,35.8522,-86.416
Nashville,Tennessee,669053,475.9,1388,36.1718,-86.785
Abilene,Texas,122999,106.7,1146,32.4545,-99.7381
Allen,Texas,103383,27.1,3715,33.0997,-96.6631
Amarillo,Texas,199924,101.4,1968,35.1999,-101.8302
Arlington,Texas,398112,95.8,4100,32.7007,-97.1247
Austin,Texas,964254,312.7,3031,30.3039,-97.7544
Beaumont,Texas,118428,82.1,1441,30.0849,-94.1453
Brownsville,Texas,183392,132.5,1387,25.9991,-97.455
Carrollton,Texas,136879,36.3,3674,32.9884,-96.8998
College Station,Texas,116218,51,2199,30.5852,-96.2964
Corpus Christi,Texas,326554,174.6,1866,27.7543,-97.1734
Dallas,Texas,1345047,340.9,3866,32.7933,-96.7665
Denton,Texas,138541,93.4,1433,33.2166,-97.1414
El Paso,Texas,682669,256.8,2660,31.8484,-106.427
Fort Worth,Texas,895008,342.9,2491,32.7815,-97.3467
Frisco,Texas,188170,67.7,2417,33.1554,-96.8226
